red_1,red_2,red_3,blue_1,blue_2,blue_3,win
4539,9745,4226,3134,3276,4674,blue
5929,3293,6453,4198,8586,6628,blue
5658,3058,6175,5576,2549,2508,red
4663,3871,877,4181,3755,7235,blue
2500,4360,3298,2654,2450,3278,blue
9474,5638,4238,8188,2177,876,blue
3313,7257,3277,4226,3276,2883,tie
6453,9576,8878,4536,3293,4674,blue
6175,4198,4539,3026,5172,4239,blue
7235,4539,5172,8878,3926,5929,red
7048,6628,7677,2508,5658,3871,red
3926,4663,3755,5464,5576,3298,blue
5929,2177,4181,3134,3275,2500,blue
3042,2450,8255,9745,5638,8586,blue
7235,876,3278,3058,8188,6146,red
877,7028,9474,2549,2530,4360,red
2654,5658,4226,4238,4239,9576,blue
2883,6175,7677,6628,8878,3298,red
3755,7257,3293,7048,5929,3026,red
5638,8255,4536,5576,4181,3134,red
3293,6628,4239,9745,8188,4181,red
7235,2508,9745,8586,3278,5464,red
2177,877,3313,876,5172,2450,blue
3058,2500,2654,3276,4663,4198,blue
6453,3926,4539,3275,9474,2549,red
4238,8188,3042,3277,7028,3871,red
4360,4674,5576,2530,6146,6628,blue
9576,7048,3755,9745,8255,6175,blue
2450,877,8878,4239,7257,3134,blue
5464,7235,5658,4198,3313,5638,blue
4663,7677,8586,3278,4536,9474,blue
2500,4226,3755,2530,9474,2508,blue
3926,5172,3275,2508,2654,8188,blue
4539,4181,3277,2177,3058,2530,blue
4360,2883,6453,5929,3042,4226,red
3871,876,2500,7028,3298,3293,blue
3026,4238,3276,4674,6146,2549,blue
3298,3026,7257,5658,3277,5638,red
4536,5638,6175,4539,3277,5172,blue
9745,2530,3293,9576,876,3276,blue
5172,3277,4539,7257,4239,3134,red
9745,2530,3293,4539,3277,5172,blue
9745,2530,3293,4539,3277,5172,red
2508,7028,4198,7257,4239,3134,blue
9576,876,3276,2450,2883,5464,red
4536,5638,6175,8188,6146,4663,red
5172,3277,4539,4198,7028,2508,red
5464,2883,2450,8188,6146,4663,blue
9745,2530,3293,7257,4239,3134,red
9576,876,3276,4536,5638,6175,red
3134,4239,7257,8188,6146,4663,red
16,3937,6586,4336,9429,2357,red
16,3937,6586,4336,9429,2357,red
16,3937,6586,4336,9429,2357,null
3616,5454,3102,5437,6586,8044,red
3616,3102,2992,2341,9073,6186,red
7483,8044,3792,4107,5002,7525,blue
6586,323,4336,6055,3937,2190,blue
1622,5454,2357,16,3616,9067,blue
5437,1781,9608,9073,1038,9429,red
7525,7483,2190,4107,3102,6586,red
5002,2992,1622,3616,6186,9067,red
5437,6055,3792,2341,1781,8044,blue
323,9608,9429,5454,16,3937,blue
2357,9073,6186,1038,4107,4336,blue
6186,5002,16,2190,9429,2992,red
6055,2190,6586,1622,3792,3102,blue
9067,2341,5454,8044,9608,5002,red
7525,5437,9073,7483,323,3937,blue
1781,1038,3616,4336,2357,9429,blue
2992,8044,6055,3102,16,9608,red
323,1622,5437,3937,7525,4107,blue
9067,6586,1038,5002,3616,9429,blue
6186,3792,5454,1781,2357,2190,red
4336,2341,16,7483,9073,2992,red
9067,9429,4107,3102,1038,6055,blue
4107,9608,7483,6055,323,2357,blue
1781,5002,3937,2357,7525,9608,red
9073,1622,8044,6186,6586,7483,red
16,3792,2992,5454,323,5437,red
9608,4336,2190,2341,4107,3616,blue
3937,3102,6186,6055,9067,7483,red
3792,1781,323,1038,1622,5002,red
2341,3616,6586,5437,16,2357,blue
9429,8044,5454,4336,2190,9073,red
9608,2992,1038,3792,7525,9067,blue
7483,5437,3616,2357,3102,323,blue
9073,3937,1622,1038,3792,2341,red
1622,2190,16,6586,9073,1781,red
5002,2992,2341,5454,6055,4107,blue
3937,9429,7525,6186,4336,8044,red
2190,2357,1038,9067,9608,1622,red
16,5454,9073,3102,5437,5002,red
4107,7483,1781,8044,3937,3616,blue
6586,9429,3792,2992,2341,323,blue
5454,4336,6055,7525,6186,1622,blue
2190,5437,4107,16,7483,1038,blue
6586,2357,3937,9073,2992,9067,red
4336,9067,3102,1781,16,7525,blue
3792,5002,4336,3616,6055,9608,red
3102,7525,2341,9429,6186,1781,red
8044,9067,2357,323,4107,9073,red
5002,6055,6586,1038,5454,5437,blue
9608,3937,2341,9429,1622,7483,red
8044,6186,16,3792,3616,7525,red
323,2190,3102,2992,1781,4336,blue
2992,4107,6186,9608,6586,5454,red
9429,2341,6055,2357,7483,5002,blue
7525,1038,323,2190,8044,3792,red
1622,9067,1781,3937,4336,5437,red
9073,3792,1622,1038,6055,3102,blue
16,3937,6586,8044,2992,4107,red
3102,6055,1038,4336,9429,2357,blue
4107,2992,8044,4336,9429,2357,blue
16,3937,6586,9067,3616,5002,red
2357,9429,4336,1038,6055,3102,red
1781,7525,5437,4107,2992,8044,blue
9073,3792,1622,323,2341,5454,red
5002,3616,9067,1038,6055,3102,blue
1781,7525,5437,323,2341,5454,blue
16,3937,6586,4336,9429,2357,red
4107,2992,8044,1622,3792,9073,red
2357,9429,4336,323,2341,5454,red
6517,4265,1014,4020,801,4630,blue
6517,4265,1014,4020,801,4630,blue
2010,9097,3140,3984,1014,4020,blue
7431,1466,9152,1014,3821,3966,red
3843,9668,7428,2856,2010,5005,blue
2872,6107,2393,801,7431,3821,blue
1014,3140,3139,9152,4630,5744,red
2010,4265,3984,2783,7428,5005,blue
9668,538,4462,6517,1466,4020,blue
2856,3966,9097,3824,1592,3843,blue
6302,7516,6107,234,9152,5005,blue
5744,2010,2872,4265,4462,6517,blue
1592,1466,801,3843,3140,3966,red
9152,3824,6302,4630,6517,3843,blue
9668,3139,3821,3984,6302,9097,blue
2783,538,4630,3824,2856,7431,red
2393,1014,234,7428,4020,7516,blue
4462,3140,2783,6302,9668,5005,red
538,3843,4265,6107,4630,3984,blue
1014,2856,1466,234,2872,3821,red
4020,7431,1592,7516,6517,9097,red
5744,3824,801,2010,2393,9152,red
7428,3966,234,3139,4462,6302,blue
7516,9668,3984,4020,801,4630,blue
3966,7431,4265,2872,801,4462,blue
3824,2872,2783,9152,3966,6517,blue
9097,2393,1466,5005,7431,3140,blue
1592,5744,1014,6107,538,2010,blue
3821,3843,2856,3139,7428,4265,blue
801,3984,3966,1466,5744,6302,red
2856,4265,2783,9097,234,3139,red
9668,1592,4630,9152,1014,2872,blue
4462,3843,2010,7516,3821,538,red
6517,5005,3824,7431,7428,6107,tie
3140,4020,5744,2393,2783,3843,blue
1592,2393,7428,2783,9668,5744,red
5005,7516,2872,538,3966,1592,red
6107,3824,3821,9668,3140,801,blue
6517,2393,3139,4265,6302,1014,red
4630,9097,7431,2010,7428,1466,blue
4462,3984,9152,2856,4020,234,blue
6302,6517,3140,7516,2783,7431,blue
3139,2872,3843,4630,234,2010,red
3821,9152,7428,1466,3984,538,blue
4265,6107,4020,3966,3824,2393,red
9097,1014,9668,4462,5744,2856,blue
6107,5005,1466,3139,7516,2856,red
5005,1592,3139,801,9152,538,blue
5744,4265,7516,3140,1466,3824,blue
7428,801,6302,1592,2783,2010,red
7431,3843,234,3966,6107,9668,red
5005,4630,1014,4020,9097,4462,blue
2872,2856,6517,3984,3821,2393,red
801,2010,7516,1466,4265,9668,red
3821,5005,4020,7431,3139,5744,red
3140,6107,9152,9097,2872,7428,blue
3984,234,1592,1014,4462,3824,red
234,538,6517,4630,3821,3140,red
3966,6302,4630,538,2856,2393,blue
2783,6517,801,3843,6107,1014,red
2393,4462,7516,3824,3139,3984,blue
5744,9097,538,234,801,6107,blue
4020,6302,2783,4265,1592,2872,blue
3824,3984,7428,1466,2783,3843,blue
4630,801,4020,1014,4265,6517,blue
1466,2783,3843,2010,5005,7431,blue
4630,801,4020,2010,5005,7431,red
4630,801,4020,2856,2393,9152,red
3843,1466,2783,2010,5005,7431,blue
6517,4265,1014,3139,1592,4462,red
3824,3984,7428,234,2872,3140,red
538,2393,2856,1466,2783,3843,blue
4462,1592,3139,234,2872,3140,red
4630,801,4020,2010,5005,7431,red
6517,4265,1014,7428,3984,3824,red
2010,5005,7431,3139,1592,4462,red
