team, auto_charge_station_points, auto_grid_points, cube_points, cone_points, endgame_charge_station_points, total,norm_a_c_s_p,norm_a_g_p,norm_c_p,norm_co_p,norm_eg_p
9068,5.04,4.22,8.21,4.37,5.62,25.53,0.5460455038,0.2984441301,0.4121485944,0.1345857715,0.472666106
9092,4.8,5.33,6.8,10.66,7.28,33.81,0.5200433369,0.3769448373,0.3413654618,0.328303049,0.6122792262
9152,3.4,1.12,6.15,2.55,5.6,20.78,0.3683640303,0.07920792079,0.3087349398,0.07853403141,0.4709840202
9176,6.45,4.83,7.26,15.08,7.4,43.52,0.698808234,0.3415841584,0.3644578313,0.4644287034,0.622371741
9213,4.9,0.79,7.51,1.94,6.79,25.58,0.5308775731,0.0558698727,0.3770080321,0.05974745919,0.5710681245
9312,5.34,5.83,9.57,21.55,8.66,58.03,0.5785482124,0.4123055163,0.4804216867,0.6636895596,0.7283431455
971,3.55,12.44,12.26,21.04,8.03,57.13,0.3846153846,0.8797736917,0.6154618474,0.6479827533,0.6753574432
2539,6.25,9.08,14.62,19.89,10.01,66.84,0.6771397616,0.6421499293,0.733935743,0.612565445,0.8418839361
3655,6.47,8.09,13.2,20.57,8.48,61.82,0.7009750813,0.572135785,0.6626506024,0.6335078534,0.7132043734
3937,7.64,8.05,13.82,18.43,7.11,62.18,0.8277356446,0.5693069307,0.6937751004,0.5676008623,0.5979814971
319,6.69,9.37,13.2,18.62,7.97,59.7,0.7248104009,0.6626591231,0.6626506024,0.5734524176,0.6703111859
3604,6.37,8.17,15.43,11.73,7.09,49.72,0.6901408451,0.5777934936,0.7745983936,0.3612565445,0.5962994113
384,7.59,7.41,12.05,21.3,7.14,59.39,0.8223185265,0.5240452617,0.6049196787,0.6559901447,0.6005046257
469,6.78,6.27,9.19,18.22,8.78,53.82,0.7345612134,0.4434229137,0.4613453815,0.5611333539,0.7384356602
587,7.42,8.69,10.26,21.01,6.17,55.5,0.803900325,0.6145685997,0.515060241,0.6470588235,0.5189234651
930,6.68,10.16,15.54,23.57,9.35,71.79,0.7237269772,0.7185289958,0.7801204819,0.7259008315,0.7863751051
1683,6.13,10.62,10.94,19.79,9.12,56.83,0.6641386782,0.7510608204,0.5491967871,0.6094856791,0.7670311186
1072,5.98,5.8,9.52,9.64,7.09,39.99,0.6478873239,0.4101838755,0.4779116466,0.2968894364,0.5962994113
1218,4.45,8.07,10.36,18.36,6.68,48.94,0.4821235103,0.5707213579,0.5200803213,0.5654450262,0.5618166526
1241,5.3,8.56,10.61,21.49,8.04,56.56,0.5742145179,0.6053748232,0.5326305221,0.6618417,0.6761984861
135,5.11,5.69,10.88,12.44,7.13,44.35,0.5536294691,0.4024045262,0.546184739,0.3831228827,0.5996635828
1414,7.37,7.17,11.33,17.8,5.88,53.49,0.7984832069,0.5070721358,0.5687751004,0.5481983369,0.4945332212
1506,5.96,8.59,12.36,20.74,8.5,58.39,0.6457204767,0.6074964639,0.6204819277,0.6387434555,0.7148864592
1599,7.91,5.67,9.91,14.58,9.04,49.07,0.8569880823,0.400990099,0.4974899598,0.4490298737,0.7603027754
1745,5.33,5.41,11.81,18.08,8.65,55.33,0.5774647887,0.382602546,0.5928714859,0.5568216816,0.7275021026
176,5.57,11.38,15.35,22.78,8.59,68.39,0.6034669556,0.8048090523,0.7705823293,0.7015706806,0.7224558452
1923,8.55,4.68,19.92,9.65,10.12,62.62,0.9263271939,0.3309759547,1,0.297197413,0.8511354079
1983,6.47,6.7,6.5,14.36,7.51,43.07,0.7009750813,0.4738330976,0.3263052209,0.4422543887,0.6316232128
2230,3.65,8.74,7.92,19.8,7.31,48.08,0.3954496208,0.6181046676,0.3975903614,0.6097936557,0.6148023549
2240,5.52,5.12,8.67,19.87,9.97,53.88,0.5980498375,0.3620933522,0.4352409639,0.6119494918,0.8385197645
2399,7.96,7.01,9.35,15.92,8.98,52,0.8624052004,0.4957567185,0.46937751,0.4902987373,0.7552565181
2403,5.73,6.89,13.8,4.8,8.58,40.01,0.6208017335,0.4872701556,0.6927710843,0.147828765,0.7216148024
2489,3.18,1.85,10.66,2.64,6.51,30.15,0.3445287107,0.130834512,0.5351405622,0.08130582076,0.5475189235
25,5.82,3.71,11.32,16.98,7.69,53.24,0.630552546,0.2623762376,0.5682730924,0.5229442562,0.6467619849
2635,5.26,3.74,5.59,8.7,6.6,28.97,0.5698808234,0.2644978784,0.28062249,0.2679396366,0.5550883095
2638,5.2,5.73,9.08,13.47,6.89,42.08,0.5633802817,0.4052333805,0.4558232932,0.4148444718,0.5794785534
2656,4.04,3.42,9.79,2.58,8.45,30.38,0.4377031419,0.2418670438,0.4914658635,0.07945796119,0.7106812447
2974,6.64,9.26,11.92,23.06,6.97,62.34,0.7193932828,0.6548797737,0.5983935743,0.7101940253,0.5862068966
316,6.44,5.53,12.87,16.92,10.94,58.26,0.6977248104,0.3910891089,0.6460843373,0.5210963967,0.9201009251
3374,5.02,6.08,6.43,14,7.07,38.35,0.5438786566,0.4299858557,0.3227911647,0.4311672313,0.5946173255
360,4.63,8.38,9.24,17.95,7.23,49.58,0.5016251354,0.5926449788,0.4638554217,0.5528179858,0.6080740118
3620,5.21,7.69,11.09,21.56,7.36,56.65,0.5644637053,0.5438472419,0.5567269076,0.6639975362,0.6190075694
3668,5.82,6.15,11.25,18.97,7.12,54.47,0.630552546,0.4349363508,0.5647590361,0.5842315984,0.5988225399
3679,5.84,5.57,13.77,6.11,9.95,42.23,0.6327193933,0.3939179632,0.6912650602,0.1881736988,0.8368376787
3683,4.4,9.04,13.14,23.06,6.59,61.47,0.4767063922,0.639321075,0.6596385542,0.7101940253,0.5542472666
4020,8.66,6.4,8.63,18.59,6.73,52.58,0.9382448537,0.4526166902,0.4332329317,0.5725284878,0.5660218671
4039,7.16,8.23,13.35,20.72,9.17,63.78,0.7757313109,0.5820367751,0.6701807229,0.6381275023,0.7712363331
4122,6.27,4.46,8.67,10.89,8.4,39.49,0.6793066089,0.315417256,0.4352409639,0.3353865106,0.7064760303
4175,3.57,4.99,7.58,6.85,4.21,27.12,0.3867822319,0.3528995757,0.3805220884,0.2109639667,0.354079058
4561,6.88,6.38,11.05,13.81,8.54,49.61,0.7453954496,0.4512022631,0.5547188755,0.425315676,0.7182506308
4693,2.73,2.59,7.87,6.86,4.09,26.15,0.2957746479,0.1831683168,0.3950803213,0.2112719433,0.3439865433
4779,6.23,6.67,9.21,16.11,6.13,47.01,0.6749729144,0.4717114569,0.4623493976,0.4961502926,0.5155592935
5024,8.43,5.51,8.87,13.99,8.02,49.73,0.9133261105,0.3896746818,0.4452811245,0.4308592547,0.6745164003
5089,5.28,4.96,10.71,3.53,5.33,29.33,0.5720476706,0.3507779349,0.5376506024,0.1087157376,0.4482758621
5152,7.17,6.35,10.47,17.27,10.69,54.56,0.7768147346,0.4490806223,0.5256024096,0.5318755775,0.8990748528
5409,7.69,5.09,7.2,19.45,8.7,53.73,0.8331527627,0.3599717115,0.3614457831,0.5990144749,0.7317073171
5411,5.41,7.19,9.82,18.59,8.23,53,0.5861321777,0.5084865629,0.4929718876,0.5725284878,0.6921783011
5419,6.46,6.18,11.3,11.11,7.01,46.14,0.6998916576,0.4370579915,0.5672690763,0.3421619957,0.5895710681
5505,5.8,6.96,8.55,18.45,5.95,45.89,0.6283856988,0.4922206506,0.4292168675,0.5682168155,0.5004205214
5618,4.46,4.63,6.11,7.42,10.74,31.2,0.4832069339,0.3274398868,0.3067269076,0.2285186326,0.9032800673
5653,4.07,4.77,13.68,2.88,5.92,33.86,0.4409534128,0.3373408769,0.686746988,0.08869725901,0.4978973928
5895,7.24,7.19,11.63,23.74,7.17,63.67,0.7843986999,0.5084865629,0.5838353414,0.7311364336,0.6030277544
5913,4.75,8.51,10.8,21.15,6.77,54.05,0.5146262189,0.6018387553,0.5421686747,0.6513704958,0.5693860387
597,5.16,5.21,12.55,8.57,9.39,44.1,0.5590465872,0.3684582744,0.6300200803,0.2639359409,0.7897392767
5988,3.19,2.18,6,2.17,5.5,18.8,0.3456121343,0.1541725601,0.3012048193,0.06683092085,0.4625735913
604,5.4,8.17,9.24,23.03,10.05,62.89,0.5850487541,0.5777934936,0.4638554217,0.7092700955,0.8452481077
6090,9.21,7.44,10.44,21.7,10.38,63.34,0.9978331528,0.5261669024,0.5240963855,0.6683092085,0.8730025231
6352,5.72,5.76,9.35,7.15,6.87,32.89,0.6197183099,0.4073550212,0.46937751,0.2202032646,0.5777964676
6420,3.46,4.29,7.62,14.38,8.39,43.04,0.374864572,0.3033946252,0.3825301205,0.4428703419,0.7056349874
6672,4.33,7.71,15.85,19.76,8.51,64.83,0.4691224269,0.545261669,0.7956827309,0.6085617493,0.7157275021
6823,6.6,5.98,9.4,17.03,7.17,50.09,0.7150595883,0.4229137199,0.4718875502,0.5244841392,0.6030277544
6865,4.69,6.56,9.43,6.79,3.95,29.52,0.5081256771,0.4639321075,0.4733935743,0.2091161072,0.3322119428
694,7.78,7.11,11.24,21.16,8.96,61.18,0.8429035753,0.5028288543,0.5642570281,0.6516784724,0.7535744323
7018,3.89,4.04,8.14,4.48,3.38,23.06,0.4214517876,0.2857142857,0.4086345382,0.137973514,0.2842724979
8576,6.2,5.37,13.75,5.56,6.97,41.11,0.6717226436,0.3797736917,0.6902610442,0.1712349861,0.5862068966
9007,3.52,1.81,6.43,5.75,4.27,25.23,0.3813651138,0.1280056577,0.3227911647,0.1770865414,0.3591253154
9008,4.02,5.23,5.4,7.72,6.29,26.15,0.4355362947,0.3698727016,0.2710843373,0.2377579304,0.5290159798
9022,4.52,4.85,6.84,12.59,3.9,33.54,0.4897074756,0.3429985856,0.343373494,0.3877425316,0.3280067283
9075,4.66,1.83,7.42,0.86,6.68,24.58,0.5048754063,0.1294200849,0.3724899598,0.02648598706,0.5618166526
9076,3.79,2.94,5.96,4.91,2.12,19.77,0.4106175515,0.2079207921,0.2991967871,0.1512165075,0.1783010934
910,4.88,7.44,9.66,15.46,7.8,46.56,0.5287107259,0.5261669024,0.484939759,0.476131814,0.6560134567
9125,4.85,6.4,9.33,12.28,8.26,40.99,0.525460455,0.4526166902,0.468373494,0.3781952572,0.6947014298
9244,4.91,1.87,3.56,4.67,2.03,17.95,0.5319609967,0.1322489392,0.1787148594,0.1438250693,0.1707317073
987,6.63,8.53,10.95,23.24,6.53,61.19,0.7183098592,0.6032531825,0.5496987952,0.7157376039,0.5492010093
5940,6.68,13.05,16.89,23.46,8.83,75.1,0.7237269772,0.9229137199,0.8478915663,0.722513089,0.7426408747
1756,8.07,7.28,13.45,23.25,8.57,68.47,0.8743228602,0.5148514851,0.6752008032,0.7160455805,0.7207737595
6329,6.65,10.84,13.75,27.38,9.99,76.99,0.7204767064,0.7666195191,0.6902610442,0.8432399138,0.8402018503
4738,6.62,7.85,10.3,22.89,6.66,59.89,0.7172264355,0.5551626591,0.5170682731,0.7049584232,0.5601345669
7890,8.78,7.08,9.65,20.82,8.69,58.29,0.9512459372,0.5007072136,0.484437751,0.6412072682,0.7308662742
3310,6.5,6.7,13.22,20.63,7.72,61.08,0.7042253521,0.4738330976,0.6636546185,0.635355713,0.6492851135
148,5.52,7.04,11.19,24.36,9.23,66.1,0.5980498375,0.4978783593,0.561746988,0.7502309824,0.7762825904
3847,7.63,5.63,11.1,18.99,7.05,55.46,0.826652221,0.3981612447,0.5572289157,0.5848475516,0.5929352397
