red_1,red_2,red_3,blue_1,blue_2,blue_3,win
6038,9647,7551,9232,7539,6232,blue
7758,8613,7742,7840,9024,7444,blue
8500,8806,8561,8780,7683,9510,red
7636,2905,9155,9001,8264,8784,red
6431,9124,9026,8557,8263,8584,red
6941,4191,7458,8796,9440,4972,red
8127,7632,9547,9247,8863,9095,red
8725,6838,9231,7465,8169,6436,blue
9043,8500,8584,7536,7551,8613,blue
9155,7444,7458,8561,2905,6941,blue
7536,4972,8263,8863,8725,7539,blue
9001,8557,7632,4972,7758,6232,red
6436,9095,8796,8264,8263,9440,red
8169,6014,6431,8863,8806,9232,blue
4191,7636,8725,9026,9024,8127,red
9231,7539,7840,9510,9247,6838,red
9547,8780,9647,9124,7742,7465,blue
8784,6038,8263,7683,8561,8169,blue
9095,6232,4191,7536,8500,7758,blue
9232,6436,9026,7840,9510,9001,red
7742,8584,8780,7632,7458,7636,blue
7683,7840,8806,4191,8584,9647,red
7444,7465,8863,9124,9440,6038,red
9024,9155,6014,7539,8127,8557,blue
7551,7683,8796,8725,6431,9247,red
2905,8264,8806,4972,9547,6838,red
6941,8613,9043,9647,9231,8784,red
9440,8169,8500,7539,7636,7536,blue
6038,7758,9155,9247,7742,6436,blue
8806,7632,6232,8561,9026,7465,red
8784,8780,9043,8796,8557,4191,red
4972,8863,8264,7444,9231,8584,blue
7758,2905,9231,9026,7551,8780,blue
7458,8127,6838,9001,8613,7683,blue
6431,9647,7840,6014,8725,2905,blue
9510,9024,6941,9124,9095,7551,red
7444,8500,9232,8263,9547,9231,blue
8169,7539,9001,8796,7742,7632,blue
8863,6431,7683,8780,6232,8264,blue
6014,9510,6038,8613,4972,2905,blue
9024,7551,8557,7465,7840,9440,red
8263,9247,8127,8806,6941,8784,blue
7458,9232,7758,8725,9124,9155,blue
8500,9001,9024,9043,6038,7444,blue
8584,7536,9095,6436,8561,9647,blue
6838,9026,7636,4191,9043,9547,red
9440,9001,9247,8263,8780,8613,blue
7840,8264,7758,6941,6038,8169,blue
9231,9124,7536,8806,9155,8796,red
6232,6436,7551,9024,7458,9547,red
8584,7632,8725,8784,6014,8500,red
7742,8561,7539,9026,4191,8863,red
8127,7465,9095,6431,9043,4972,blue
9647,6838,8557,9510,7444,7636,red
8557,8784,7742,6838,9095,9232,blue
2905,7683,9024,9232,7536,7632,blue
9155,4191,8780,7551,8169,8263,blue
8561,4972,9124,9043,6436,7840,red
7539,8784,9510,9547,7758,6431,red
2905,9232,7465,8584,8127,6941,blue
9647,9247,9026,8264,8500,7458,blue
8613,6838,7444,6232,8796,8863,red
6038,8806,9001,9095,8557,8725,red
9440,7636,7742,9231,6014,7683,blue
8780,7840,9124,7536,8784,8127,blue
9547,9440,8613,7632,9155,6431,blue
7758,8863,6436,8500,8796,2905,blue
9247,8584,4972,8169,9647,9024,blue
7683,9026,7539,9095,7444,6941,blue
7551,9547,6014,6838,9001,8561,blue
6232,8725,9510,9155,9043,9440,red
7632,8263,4191,7458,9231,6038,red
7636,9232,8264,8613,7465,8806,blue
8557,6431,7536,7742,6941,8500,red
8264,8796,8169,8127,9510,8561,red
7465,7536,9043,6014,7458,9247,red
9124,8725,8557,9001,7551,8169,red
8780,8613,6941,8806,7632,8127,red
8557,8725,2905,7536,6232,6436,blue
8806,7632,8127,7536,6232,6436,red
8780,8613,6941,9001,7551,8169,red
6436,6232,7536,9247,8561,7636,red
7632,8806,8127,6014,7444,9024,red
7539,6838,7840,2905,8725,8557,blue
9001,7551,8169,7636,8561,7465,red
9024,7444,6014,7840,6838,7539,red
8780,8613,6941,7536,6232,6436,red
8806,7632,8127,2905,8725,8557,red
6436,6232,7536,6014,7444,9024,red
8882,7565,1156,9460,9168,9602,red
8882,7565,1156,9460,9168,9602,red
8882,7565,1156,9460,9168,9602,null
9200,9049,9617,9302,9196,9168,red
9166,9162,9458,9302,8066,9110,blue
9657,9484,8276,9617,9614,7033,red
9175,9047,7563,9487,9085,9485,red
9199,9196,1860,9218,9459,9486,red
6404,9168,5800,7565,8882,9461,blue
9675,9165,7459,1772,9049,9603,blue
9166,9604,9169,9164,9048,9200,blue
9178,9046,9305,9602,9219,7567,blue
9163,9611,9066,9195,9045,1156,blue
9050,9485,6404,9460,7033,9168,blue
9604,8066,9602,9050,9110,9614,red
5800,9175,9199,9162,9110,9165,red
9085,8066,9169,7565,9657,9459,red
8276,9164,9604,9046,9603,9458,blue
1772,9302,9219,9486,9602,9163,blue
9045,9611,9047,8882,9178,9166,red
9050,9200,9487,9049,9675,9305,red
9460,9617,9196,9066,7459,7563,blue
9461,1156,9484,7567,9195,9218,red
6404,9302,9614,9048,1860,9085,blue
9485,7033,9046,9110,8882,9163,red
1156,9485,9175,9484,9169,1772,red
1772,9657,9045,9168,9050,9199,blue
9617,9169,7565,9611,9602,9162,blue
9175,9486,9460,8066,9218,9675,red
9048,9195,9459,9047,9305,8276,blue
9458,9614,9200,7459,9178,9461,red
1860,7563,9484,9049,9164,5800,red
9219,9166,9603,1156,9487,9196,blue
9604,7567,9302,9165,9066,9485,blue
9602,6404,9047,9218,9199,9045,red
7565,1772,9085,8276,9200,9460,red
8276,9085,9603,9162,9163,7567,red
9175,9458,9657,9305,1860,8882,red
9487,9617,9048,9164,1156,8066,blue
7459,7567,7033,9486,5800,9604,blue
9163,9050,9461,9196,9165,9178,red
9162,9066,9049,9459,9166,9046,tie
9195,9614,9611,9603,9168,7563,blue
9219,9110,9484,9047,9675,9169,tie
7567,9657,5800,9048,9460,1772,blue
1156,8276,9602,1860,9461,9165,red
9617,9163,9459,9166,9175,9050,blue
9199,7033,9195,9458,9460,9487,blue
9305,7563,9218,7033,9162,9302,blue
9178,9168,9611,9110,9487,7459,red
9200,9199,8882,9603,9484,8066,red
9164,7565,9485,9045,9219,9614,red
9169,9458,9066,6404,9486,9049,red
9085,9604,9046,9196,9675,9195,red
7459,9047,1156,7563,8276,9050,red
9460,5800,9178,9603,9459,9302,red
9200,9045,9165,1860,9175,7033,blue
9485,9486,9110,9461,9305,9617,tie
9045,9461,9486,7563,9046,9657,red
9168,9066,9166,9085,9484,9602,blue
9195,9604,9219,9657,6404,9162,red
9163,9048,9675,9458,9199,7565,blue
8066,1772,9611,9046,9218,9049,red
9487,8882,7567,9614,9169,9196,red
7033,9603,9164,9066,9602,9175,blue
7563,1156,6404,9459,9200,9110,red
9168,9163,1860,9047,9460,9604,blue
9484,9050,9486,7565,9611,9048,red
9165,9458,9218,9085,9617,9219,blue
9218,9178,9047,5800,7565,9066,blue
9675,9166,8276,9178,9485,9657,blue
9196,9305,9045,9614,5800,8066,red
9302,9046,9195,9169,7459,9199,blue
8882,9162,1772,9461,9487,9164,red
9049,9110,7565,7567,9175,9085,blue
9459,1860,7459,8882,9219,9048,red
9165,9164,9305,9611,6404,9675,blue
9199,9175,7567,9085,9049,1772,red
8882,7565,1156,9169,9604,9200,red
9199,9175,7567,9460,9168,9602,blue
9200,9604,9169,9460,9168,9602,blue
8882,7565,1156,9219,7563,1860,red
1772,9049,9085,5800,9047,9305,blue
9168,9602,9460,9169,9604,9200,blue
9199,9175,7567,9458,9461,9484,red
1860,7563,9219,9085,9049,1772,blue
9168,9602,9460,9458,9066,9484,red
8882,7565,1156,5800,9047,9305,red
9200,9604,9169,7567,9175,9199,red
9305,9047,5800,9460,9602,9168,blue
4635,3478,4782,3472,4403,7421,blue
4635,3478,4782,3472,4403,7421,blue
4635,3478,4782,3472,4403,7421,null
4775,5716,4010,3933,7725,4403,blue
9282,4584,4735,9280,6647,5133,blue
4782,6106,4635,4371,7725,9065,red
3794,3472,8734,3478,9593,5716,blue
6483,6652,6017,7421,4403,6170,blue
5887,3522,4723,3933,9213,7102,red
9301,9053,5959,8740,5932,4010,red
3158,6170,6832,5133,4635,7725,blue
7421,4775,9280,3794,4400,6647,red
5887,9593,9301,6106,3478,4735,blue
9065,7546,3522,6652,4584,5932,red
6106,4723,6652,5948,6647,4635,blue
5948,6483,3933,9213,8740,3472,red
3526,4782,7102,9282,4403,9053,blue
8734,5716,6017,4723,6676,4371,blue
9213,7725,5887,5133,6652,3794,blue
8740,3933,9593,6647,7546,3158,blue
4782,9301,4010,4584,6017,9065,blue
6106,5959,3522,6832,3526,9282,red
4400,7102,7421,6170,6676,4635,red
5932,4735,5948,5716,6483,9280,red
4723,3478,9053,4775,3472,4371,red
3158,9065,7421,3522,8734,3526,red
4403,3794,7546,9301,4635,8734,blue
5716,6647,6832,5887,4010,6652,red
4584,5948,4371,5959,4775,7102,red
3472,9282,3478,4403,3158,6106,blue
4782,9065,9213,6483,7421,8740,tie
9053,3933,5932,8734,4735,6170,red
9593,5133,4400,6017,3526,4723,blue
3478,3522,7725,9280,6676,5948,red
7421,4635,5716,3158,9301,7102,red
5887,4371,4403,9065,9593,4723,red
9053,6170,9213,6676,9282,9593,red
5932,8734,5133,5959,4782,6647,blue
6170,9280,4400,4010,9213,6106,red
7725,7546,6483,3522,9282,3933,blue
6676,8740,3526,4735,6652,4775,blue
6832,4584,3794,6017,9053,3472,blue
6170,4010,9282,5948,8734,3478,blue
7546,4400,9213,5716,3158,4782,blue
6647,4403,8740,3522,6832,6676,red
4635,5887,6483,9593,9053,4775,red
3526,4371,7421,3472,5932,7725,red
6832,3472,5959,4400,5887,4782,blue
6652,9280,5959,3933,4723,9301,red
4735,3794,6017,9065,7102,6106,blue
4584,6676,9053,5133,5948,3158,blue
4371,8740,3478,6652,4400,9282,red
6647,9301,3472,7102,6170,7725,blue
5932,9065,4775,5133,7421,6832,blue
4635,6017,9280,8734,5887,3933,red
7546,6106,3526,4010,4723,6483,blue
9213,5716,4735,4403,5959,4584,blue
3522,9593,6652,4775,4782,3794,red
8740,4735,9280,6017,4371,7546,blue
6676,7102,6483,9065,9280,6832,red
3478,6017,6647,9213,5959,4635,red
9282,4723,3158,3794,9301,5932,blue
6170,4782,8740,3526,5716,5887,blue
4371,6106,9593,3933,7421,4584,blue
7725,8734,4010,4735,3522,4400,blue
5948,3472,4403,9053,5133,7546,red
5959,3794,3158,4371,6483,6170,red
4723,4584,8734,7725,6832,8740,red
6647,3933,9065,3478,3526,4400,blue
